,hip_left,joints_angle1_ANGLE_HIPCOR_LEFT,knee_left,ankle_left,hip_right,joints_angle1_ANGLE_HIPCOR_RIGHT,knee_right,ankle_right,energy1_energy,footfall1_left,footfall1_right,distance1_distance,vasvas_wf,uid
0,0.0,1.3397499999999998e-35,0.0,2.3705099999999998e-36,0.0,8.70855e-35,0.0,4.61054e-36,0.0283295,1,1,4.3368100000000006e-17,0.0,param2val0
1,1.30429e-19,4.86316e-35,-3.40183e-19,1.52433e-18,1.30429e-19,1.53048e-34,-3.40183e-19,1.52433e-18,0.252933,1,1,4.68375e-17,0.0,param2val0
2,-1.42338e-05,3.34583e-23,2.52404e-05,0.00016910400000000003,-1.42338e-05,-2.47724e-23,2.52404e-05,0.00016910400000000003,0.486422,1,1,1.37421e-07,0.0,param2val0
3,-5.31487e-05,-3.04201e-09,9.16833e-05,0.000495776,-4.8081400000000004e-05,3.04212e-09,8.02929e-05,0.000501807,0.728036,1,1,4.28035e-07,0.0,param2val0
4,-0.00013121,-1.16392e-08,0.00022189400000000001,0.00096761,-0.00010874700000000001,1.16404e-08,0.00017101,0.000994713,0.9767959999999999,1,1,8.92598e-07,0.0,param2val0
5,-0.000263904,-2.6946500000000002e-08,0.00044012900000000004,0.00157196,-0.00020392,2.69516e-08,0.000303533,0.00164503,1.23179,1,1,1.5542500000000002e-06,0.0,param2val0
6,-0.00046695199999999997,-4.9351699999999995e-08,0.0007710439999999999,0.00229686,-0.00034137800000000004,4.93668e-08,0.000484024,0.00245088,1.49222,1,1,2.4368e-06,0.0,param2val0
7,-0.0007558510000000001,-7.881280000000001e-08,0.00123895,0.00313103,-0.000528762,7.88478e-08,0.0007185080000000001,0.00341098,1.75735,1,1,3.5640499999999998e-06,0.0,param2val0
8,-0.00114557,-1.14999e-07,0.00186735,0.00406386,-0.000773435,1.15069e-07,0.00101277,0.00452443,2.02655,1,1,4.9593300000000005e-06,0.0,param2val0
9,-0.00165032,-1.57361e-07,0.00267856,0.00508532,-0.00108237,1.57484e-07,0.00137226,0.00579047,2.29925,1,1,6.64535e-06,0.0,param2val0
10,-0.00228341,-2.05169e-07,0.00369347,0.00618602,-0.00146208,2.05372e-07,0.00180205,0.00720835,2.57496,1,1,8.644069999999999e-06,0.0,param2val0
11,-0.00305712,-2.57558e-07,0.00493136,0.00735715,-0.00191856,2.57868e-07,0.00230681,0.00877722,2.85325,1,1,1.0976600000000001e-05,0.0,param2val0
12,-0.0039826,-3.13551e-07,0.00640974,0.00859048,-0.00245724,3.1400200000000003e-07,0.00289072,0.010496,3.1337200000000003,1,1,1.3663499999999999e-05,0.0,param2val0
13,-0.00506983,-3.72102e-07,0.00814429,0.00987842,-0.00308297,3.72729e-07,0.00355752,0.012363500000000001,3.41605,1,1,1.67241e-05,0.0,param2val0
14,-0.00632759,-4.3210900000000005e-07,0.0101488,0.011214,-0.00380001,4.32948e-07,0.00431047,0.014377700000000002,3.69995,1,1,2.01776e-05,0.0,param2val0
15,-0.00776377,-4.92353e-07,0.012436,0.0125609,-0.00461237,4.93441e-07,0.00515339,0.016503,3.9851699999999997,1,1,2.4049e-05,0.0,param2val0
16,-0.00938524,-5.51856e-07,0.0150174,0.013866999999999999,-0.00552364,5.53227e-07,0.00609007,0.0186886,4.2715,1,1,2.83667e-05,0.0,param2val0
17,-0.0111976,-6.09624e-07,0.0179023,0.015084,-0.00653682,6.11308e-07,0.00712381,0.0208867,4.558730000000001,1,1,3.3158400000000004e-05,0.0,param2val0
18,-0.0132055,-6.64696e-07,0.0210983,0.016169799999999998,-0.00765429,6.667189999999999e-07,0.00825733,0.0230535,4.84668,1,1,3.84505e-05,0.0,param2val0
19,-0.015412100000000001,-7.162009999999999e-07,0.024611,0.0170882,-0.00887791,7.185819999999999e-07,0.00949287,0.0251493,5.1352,1,1,4.4268100000000004e-05,0.0,param2val0
20,-0.017819799999999997,-7.63386e-07,0.028444599999999997,0.0178083,-0.010209000000000001,7.66135e-07,0.0108322,0.027138,5.42434,1,1,5.06353e-05,0.0,param2val0
21,-0.020427400000000002,-8.05394e-07,0.032598,0.018306299999999998,-0.011646,8.085120000000001e-07,0.0122737,0.0289889,5.71624,1,1,5.75701e-05,0.0,param2val0
22,-0.0232327,-8.41097e-07,0.0370702,0.018581099999999996,-0.013187,8.44575e-07,0.013817600000000001,0.030673000000000002,6.01041,1,1,6.51215e-05,0.0,param2val0
23,-0.0262337,-8.70531e-07,0.041862699999999996,0.018650299999999998,-0.014830000000000001,8.74362e-07,0.015465999999999999,0.0321763,6.30739,1,1,7.33704e-05,0.0,param2val0
24,-0.029428500000000003,-8.938469999999999e-07,0.0469754,0.0185382,-0.0165743,8.98001e-07,0.017221599999999997,0.0335009,6.60624,1,1,8.238299999999999e-05,0.0,param2val0
25,-0.0328141,-9.117220000000001e-07,0.052406299999999996,0.018269,-0.0184176,9.16176e-07,0.0190844,0.034653699999999996,6.907539999999999,1,1,9.22115e-05,0.0,param2val0
26,-0.036388,-9.240179999999999e-07,0.0581529,0.0178649,-0.020358900000000003,9.28725e-07,0.021056000000000002,0.035639300000000006,7.210089999999999,1,1,0.00010290200000000001,0.0,param2val0
27,-0.0401467,-9.31219e-07,0.0642112,0.017345199999999998,-0.022396,9.361440000000001e-07,0.0231358,0.0364602,7.513999999999999,1,1,0.00011449399999999999,0.0,param2val0
28,-0.0440871,-9.333060000000001e-07,0.0705773,0.0167268,-0.024527700000000003,9.383939999999999e-07,0.0253249,0.0371149,7.81837,1,1,0.000127024,0.0,param2val0
29,-0.0482057,-9.30816e-07,0.0772467,0.016024100000000003,-0.0267524,9.36022e-07,0.027623200000000004,0.0376005,8.12387,1,1,0.000140525,0.0,param2val0
30,-0.0524999,-9.24355e-07,0.0842153,0.015249,-0.029069,9.296339999999999e-07,0.0300313,0.0379123,8.42941,1,1,0.000155029,0.0,param2val0
31,-0.056965199999999994,-9.13944e-07,0.09147689999999999,0.0144129,-0.0314756,9.19234e-07,0.0325491,0.0380454,8.7357,1,1,0.000170565,0.0,param2val0
32,-0.061593100000000005,-8.970770000000001e-07,0.0990127,0.0135325,-0.0339698,9.02231e-07,0.035175599999999994,0.0379961,9.041939999999999,1,1,0.0001871,0.0,param2val0
33,-0.0663788,-8.76284e-07,0.10681500000000001,0.012617,-0.03654930000000001,8.81225e-07,0.0379101,0.037761800000000005,9.34838,1,1,0.00020465400000000002,0.0,param2val0
34,-0.0713076,-8.45902e-07,0.11485,0.0116889,-0.039210300000000003,8.503539999999999e-07,0.0407505,0.0373431,9.6582,1,1,0.00022313099999999997,0.0,param2val0
35,-0.0763625,-8.034739999999999e-07,0.123079,0.0107715,-0.0419483,8.07089e-07,0.043693800000000005,0.03674380000000001,9.97546,1,1,0.000242407,0.0,param2val0
