LANKLE,LHIP,LKNEE,RANKLE,RHIP,RKNEE
-20.7255096435547,49.0185012817383,15.6123008728027,-23.4364929199219,51.1824913024902,18.8933887481689
-18.0000762939453,47.7977714538574,16.4362316131592,-21.3194046020508,49.5755310058594,19.9967613220215
-15.2498779296875,46.7859725952148,17.3853168487549,-18.5337467193604,48.2596969604492,21.4542102813721
-12.8733139038086,45.9657821655273,18.4576377868652,-15.4376449584961,47.2699356079102,23.1170043945313
-10.9528913497925,45.1960945129395,19.595890045166,-12.5265855789185,46.4801826477051,24.7760753631592
-9.25172519683838,44.3312644958496,20.7408294677734,-10.0640201568604,45.6967964172363,26.2457695007324
-7.61579418182373,43.2563323974609,21.7516784667969,-8.017991065979,44.7648887634277,27.3936500549316
-6.25363540649414,41.8643798828125,22.3640460968018,-6.34895753860474,43.6234931945801,28.0673427581787
-5.39656162261963,40.1439933776856,22.3477268218994,-5.19277095794678,42.2961349487305,28.0481243133545
-5.02859592437744,38.263729095459,21.6562671661377,-4.65846824645996,40.8878288269043,27.1899566650391
-5.09852027893066,36.4349670410156,20.3919448852539,-4.66140031814575,39.537841796875,25.5578269958496
-5.56946325302124,34.7077293395996,18.7149868011475,-5.0434308052063,38.3222694396973,23.4198913574219
-6.40173625946045,33.0020751953125,16.7833080291748,-5.64934539794922,37.190372467041,21.1874885559082
-7.43162679672241,31.2761878967285,14.7573480606079,-6.33661556243897,35.9789505004883,19.2691440582275
-8.50522422790527,29.5044288635254,12.7625017166138,-7.00047540664673,34.5434455871582,17.920093536377
-9.53284454345703,27.6279945373535,10.842752456665,-7.56535911560059,32.8214569091797,17.1874904632568
-10.4756479263306,25.6236114501953,8.99240779876709,-7.97804880142212,30.838680267334,16.9120635986328
-11.2916679382324,23.6431694030762,7.23643255233765,-8.24415016174316,28.6987571716309,16.8219738006592
-11.9112386703491,21.8879909515381,5.6485743522644,-8.39729022979736,26.5674285888672,16.683313369751
-12.2687149047852,20.4350776672363,4.28781604766846,-8.47652816772461,24.5590591430664,16.3540725708008
-12.3977918624878,19.2301349639893,3.12997770309448,-8.51856994628906,22.7623100280762,15.8011236190796
-12.3369302749634,18.2380599975586,2.14313220977783,-8.52538871765137,21.1891593933105,15.055944442749
-12.1100854873657,17.4293155670166,1.31776905059814,-8.52796745300293,19.7913055419922,14.1553344726563
-11.7754859924316,16.7196311950684,0.626437306404114,-8.57237434387207,18.5173568725586,13.1570291519165
-11.3896217346191,15.9929599761963,-0.01344309002161,-8.68188762664795,17.3228702545166,12.1261472702026
-11.0345544815063,15.1364831924438,-0.705754458904266,-8.83234214782715,16.1665344238281,11.1263427734375
-10.7349853515625,14.0976734161377,-1.4373607635498,-8.97731590270996,14.9943552017212,10.2045745849609
-10.4912633895874,12.8830299377441,-2.12579417228699,-9.10660076141357,13.7311487197876,9.35038185119629
-10.3354711532593,11.5227518081665,-2.7194516658783,-9.25010395050049,12.3362016677856,8.53646469116211
-10.2873458862305,10.0876550674438,-3.18111991882324,-9.42382717132568,10.8354072570801,7.77359104156494
-10.3511524200439,8.72154140472412,-3.41518449783325,-9.64485263824463,9.28593730926514,7.097243309021
-10.507345199585,7.52473306655884,-3.32288146018982,-9.92365074157715,7.7890830039978,6.56572675704956
-10.8010711669922,6.52228116989136,-2.90940809249878,-10.3075675964355,6.43029737472534,6.21149063110352
-11.2831363677979,5.64497995376587,-2.28602647781372,-10.8716592788696,5.23999166488648,6.01983499526978
-12.0136098861694,4.78966856002808,-1.53572165966034,-11.6393327713013,4.18189907073975,5.9869818687439
-13.0276260375977,3.87404489517212,-0.674948692321777,-12.6077060699463,3.20625972747803,6.14486169815064
-14.4359073638916,2.87382197380066,0.263913720846176,-13.8506994247437,2.25832533836365,6.49835252761841
-16.3202819824219,1.84731769561768,1.26143360137939,-15.4647350311279,1.34668862819672,7.05856847763062
-18.8209381103516,0.940060079097748,2.3258683681488,-17.5792274475098,0.533383131027222,7.84859418869019
-21.9871559143066,0.344916254281998,3.54186201095581,-20.3283061981201,-0.068648733198643,8.94082832336426
-25.7425746917725,0.212994158267975,5.04060220718384,-23.7075729370117,-0.335945308208466,10.4399785995483
-29.7453060150147,0.596388638019562,6.98759317398071,-27.5427894592285,-0.157940074801445,12.41392993927
-33.5723190307617,1.41165590286255,9.50186347961426,-31.4376468658447,0.503905355930328,14.8971376419067
-36.7518653869629,2.49516725540161,12.6320352554321,-34.7407684326172,1.5848480463028,17.9475364685059
-38.8778915405273,3.67778611183167,16.3130970001221,-36.9093284606934,2.94003796577454,21.5317859649658
